species
Pseudoscopelus lavenbergi
Pseudoscopelus obtusifrons
Pseudoscopelus parini
Pseudoscopelus sagamianus
Pseudoscopelus scutatus
Pseudotriakis microdon
Psilogobius mainlandi
Pteraclis aesticola
Ptereleotris heteroptera
Pterois sphex
Pteroplatytrygon violacea
Pteropsaron incisum
Pterycombus petersii
Pycnocraspedum armatum
Pygoplites diacanthus
Pyramodon ventralis
Randallichthys filamentosus
Ranzania laevis
Remora albescens
Remora brachyptera
Remora osteochir
Remora remora
Rexea nakamurai
Rhincodon typus
Rhinecanthus aculeatus
Rhinecanthus rectangulus
Rhinopias xenops
Rhynchactis leptonema
Rhynchohyalus natalensis
Roa excelsa
Rondeletia loricata
Rosenblattichthys hubbsi
Ruvettus pretiosus
Saccogaster hawaii
Saccogaster tuberculata
Sagamichthys abei
Samariscus corallinus
Samariscus triocellatus
Sarda orientalis
Sardinella marquesensis
Sargocentron diadema
Sargocentron ensifer
Sargocentron iota
Sargocentron microstoma
Sargocentron punctatissimum
Sargocentron spiniferum
Sargocentron spinosissimum
Sargocentron tiere
Sargocentron xantherythrum
Saurenchelys stylura
Saurida flamma
Saurida gracilis
Saurida nebulosa
Scalicus engyceros
Scalicus hians
Scarus dubius
Scarus psittacus
Scarus rubroviolaceus
Schindleria pietschmanni
Schindleria praematura
Schismorhynchus labialis
Schultzidia johnstonensis
Scolecenchelys cookei
Scolecenchelys gymnota
Scolecenchelys puhioilo
Scomber australasicus
Scomberoides lysan
Scombrolabrax heterolepis
Scopelarchus analis
Scopelarchus guentheri
Scopelarchus michaelsarsi
Scopelarchus stephensi
Scopelengys clarkei
Scopeloberyx opisthopterus
Scopeloberyx robustus
Scopelogadus mizolepis
Scopelosaurus hoedti
Scopelosaurus smithii
Scorpaena colorata
Scorpaena pele
Scorpaenidae
Scorpaenodes corallinus
Scorpaenodes evides
Scorpaenodes hirsutus
Scorpaenodes kelloggi
Scorpaenodes parvipinnis
Scorpaenopsis altirostris
Scorpaenopsis brevifrons
Scorpaenopsis cacopsis
Scorpaenopsis diabolus
Scorpaenopsis pluralis
Scuticaria okinawae
Scuticaria tigrina
Sebastapistes ballieui
Sebastapistes coniorta
Sebastapistes fowleri
Sebastapistes galactacma
Selar crumenophthalmus
Seriola dumerili
Seriola lalandi
Seriola rivoliana
Serrivomer sector
Setarches guentheri
Sigmops ebelingi
Sigmops elongatus
Sigmops gracilis
Simenchelys parasitica
Sladenia remiger
Snyderidia canina
Solocisquama erythrina
Solocisquama stellulata
Somniosus pacificus
Spectrunculus grandis
Sphagemacrurus gibber
Sphoeroides pachygaster
Sphyraena barracuda
Sphyraena helleri
Sphyrna lewini
Sphyrna mokarran
Sphyrna zygaena
Spratelloides delicatulus
Squalus mitsukurii
Stemonidium hypomelas
Stemonosudis elegans
Stemonosudis elongata
Stemonosudis macrura
Stemonosudis rothschildi
Sternoptyx diaphana
Sternoptyx obscura
Sternoptyx pseudobscura
Stethojulis balteata
Stethopristes eos
Stomias danae
Stomias longibarbatus
Stylephorus chordatus
Sudis atrox
Suezichthys notatus
Sufflamen bursa
Sufflamen fraenatum
Suttonia lineata
Symbolophorus californiensis
Symbolophorus evermanni
Symphurus strictus
Symphurus undatus
Symphysanodon katayamai
Symphysanodon maunaloae
Symphysanodon typus
Synagrops japonicus
Synaphobranchus affinis
Synaphobranchus brevidorsalis
Synaphobranchus kaupii
Synchiropus corallinus
Synchiropus hawaiiensis
Synchiropus kinmeiensis
Synchiropus kiyoae
Synchiropus rosulentus
Synchiropus rubrovinctus
Synodus binotatus
Synodus capricornis
Synodus dermatogenys
Synodus falcatus
Synodus kaianus
Synodus lobeli
Synodus mundyi
Synodus rubromarmoratus
Synodus ulae
Synodus usitatus
Synodus variegatus
Taaningichthys bathyphilus
Taaningichthys minimus
Taaningichthys paurolychnus
Taenianotus triacanthus
Taeniopsetta radula
Taractes asper
Taractes rubescens
Taractichthys steindachneri
Tetragonurus atlanticus
Tetragonurus cuvieri
Tetragonurus pacificus
Tetrapturus angustirostris
Thalassoma ballieui
Thalassoma duperrey
Thalassoma lutescens
Thalassoma purpureum
Thalassoma quinquevittatum
Thalassoma trilobatum
Thunnus alalunga
Thunnus albacares
Thunnus obesus
Thunnus orientalis
Thyrsitoides marleyi
Thysanactis dentex
Torquigener florealis
Torquigener randalli
Trachinocephalus myops
Trachonurus sentipellis
Triaenodon obesus
Trigonognathus kabeyai
Trimma milta
Trimma taylori
Trimma unisquame
Triphoturus nigrescens
Tylosurus acus
Tylosurus crocodilus
Typhlonus nasus
Uncisudis advena
Uncisudis quadrimaculata
Upeneus taeniopterus
Upeneus vittatus
Uraspis helvola
Uraspis secunda
Uraspis uraspis
Uroconger lepturus
Uropterygius
Uropterygius fuscoguttatus
Uropterygius inornatus
Uropterygius macrocephalus
Uropterygius marmoratus
Uropterygius polyspilus
Uropterygius supraforatus
Uropterygius xenodontus
Valenciennellus tripunctulatus
Ventrifossa atherodon
Ventrifossa ctenomelas
Vinciguerria attenuata
Vinciguerria nimbaria
Vinciguerria poweriae
Wetmorella albofasciata
Winteria telescopa
Woodsia nonsuchae
Xanthichthys auromarginatus
Xanthichthys caeruleolineatus
Xanthichthys mento
Xenoconger fryeri
Xiphias gladius
Xyelacyba myersi
Zameus squamulosus
Zanclus cornutus
Zapogon evermanni
Zebrasoma flavescens
Zebrasoma rostratum
Zebrasoma velifer
Zenopsis nebulosa
Zu cristatus
